,type,review,label,file
34000,train,"Feh. This movie started out in an interesting manner, but quickly ran the gamut from confusing to dull. The confusing parts happened mostly at the beginning, where the cut scenes are so numerous that its hard to tell just what is going on for the first twenty minutes or so. The dull comes later, with a tepid romance between the two living people(pusses both). The vengeful spirit of the dead girl is actually the most lively person in the film, which is sad. If the rest of the cast had been up to her caliber, the movie might have been better.<br /><br />Maybe. Because the storyline gets really interesting for awhile, as it appears that the insane priestess mother of the dead sixteen year old girl is trying to resurrect her daughter from the dead, with the decidedly unfortunate side effect that all of the other dead people would come back as well, take on solid human form, and most likely start killing off everybody. A sort of Japanese mystical Night of the Living Dead type thing. But this doesn't come to pass. Even though this hairy unwashed priest with a tiny basket strapped to his head tells the uninteresting young people that this will come to pass if the priestess finishes her ritual, she does just that and the only dead person who manifests is her daughter. No mass rising of the dead, no walking army of corpses, nothing. The priest merely makes the girl's spirit go back to the land of the dead, taking the washed out wuss of a boyfriend with her, as she'd crushed his spine like peanut brittle(at which point I was tempted to cheer loudly, as this idiot went over to kiss and fondle the DEAD girl,,ewwww!!!). The Robitussen sucking, spineless best friend has a long introspective shot at the end as she leaves the village for the last time, and that's it. No real horror, no real creepiness, which the Japanese tend to do far better than American film makers with their emphasis on over-the-top cheesy face make-up, no screaming mimis. I was very disappointed.",neg,6851_4.txt
34001,train,"This film is really unbelievable. I've seen so much cheap trash-movies, especially a lot 'Full Moon'-Pictures, but 'Dollman' is really hard. So much comes together: the laughable story, the actors always at the edge of parody and the special effects! How long I could talk about them! It is a really bad movie, but also one of the funniest ones. If you're a fan of bad movies to laugh about, you have to see it. And don't miss 'Dollman vs. Demonic Toys'. It really funnier and worse.",neg,6852_1.txt
34002,train,"Another trashy Grade Z quickie from the prolific Albert Pyun. Tim ThomersonÂ´s 13 inch Clint Eastwood-like cop from outer space chases an ugly flying head(!) to Earth and gets involved in a gang war in South Bronx! Mercifully short, but deadeningly dull, with the cheesiest effects since Attack of the 50Ft Woman. They should have fired the continuity guy, too: Note how ThomersonÂ´s sunglasses disappears and reappears in every second shot. Laughably bad, but thatÂ´s why we watch these movies, ainÂ´t it? Sequel Â´Dollman Vs. Demonic ToysÂ´ is reportedly even worse, if thatÂ´s possible.<br /><br />0 (of ****)<br /><br />",neg,6853_1.txt
34003,train,Dreadful acting. A thinly veiled attempt to slam those on the left side of the aisle.<br /><br />Women are subjugated and revolve around men. Tom Selleck shows his acting range from A to B.,neg,6854_1.txt
34004,train,"Why is it that a woman cannot be a strong character in a movie without sleeping with the leading man? The campaign manager in this movie dreams of leading Tom Sellick to the White House. It's all she can think about. So, why on earth must she have had an affair with him? It added nothing to the plot and served only to demean successful women. The only value of that tidbit was the cute ""we've all slept with your husband"" scene. <br /><br />Also, couldn't the people who made this movie have watched the national conventions they were spoofing? Airing between the two major political conventions only served to highlight their total ignorance of the nomination and selection process.",neg,6855_4.txt
34005,train,"This movie starts out promisingly, with an early scene in which Frank Morgan advises against Gary Cooper's marriage to his daughter, Anita Louise. Frank Morgan, playing an unabashed gold-digger, loudly complains to Cooper about his perceived penury at the hands of his family - including his daughter, Anita Louise. I am a fan of all 3 actors. Frank Morgan is (to my mind) a Hollywood treasure, Cooper a legend, and Louise a very lovely, versatile and under-appreciated actress seldom seen in the leading role. I also have nothing against Teresa Wright, and while not blessed with great range, she usually delivers heart-warming performances.<br /><br />From a promising opening, the story slides downhill all the way to the end. I found nothing humorous about burning down the home of Cooper's would-be in-laws. The butler in such a fastidious, non-smoking household would never just blithely walk away, allowing Cooper to continue smoking, or alternatively he would certainly supply him with some means of disposing of his ill-timed cigarette. Moreover, nobody with any common sense would permit himself to be left holding a lit cigarette without asking for some means of disposing of it. And finally, nobody in his right mind crushes out a cigarette in a handkerchief and sticks it in his pocket! This whole sequence just made Cooper seem foolish and gauche. It is a poor contrivance - ill conceived and filmed in a way that induces ridicule not laughter. <br /><br />The forced medical examination of Cooper is equally contrived. Nobody lets himself undergo a complete medical examination without his being advised of its purpose or giving his consent! That Cooper did so is too removed from reality to be funny - it's absurd! Stealing babies from hospitals is a serious legal offense, and that, too, is nothing to laugh about. Finally, the scenes of Cooper's overly fastidious, neurotic attention to his baby's feeding and weight may have struck a nerve with a few people who have experienced anxiety over their own newborn babies. But to me they just seem tedious and slow. The wardrobe and prop departments went over the top in those scenes, while paradoxically, the script writer went to sleep.<br /><br />The lines are just not in the script to generate humor. They just miss on all cylinders. The laughs come not a mile-a-minute, but more like a light year-a-minute. The only time the movie has any energy or humor is when Frank Morgan is on camera.<br /><br />The scene that is totally wasted is when both of Cooper's love interests and their respective fathers are cooped up in the same hotel room together. There is probably a rich vein of humor somewhere in that mine, but none of it was extracted.<br /><br />In the end, one of the two very likable girls is going to get hurt. Predictably, it is the Anita Louise character, who gets jilted on her would-be-wedding night! While it is not on camera, that is her fate, and it is not particularly funny - even as a loose end. She hadn't done anything in this film to make me unsympathetic (unlike Gail Patrick, say, in My Favorite Wife). Consequently, I was expecting (perhaps ""hoping"" is a better word in the context of the film!) for Anita Louise to enjoy a happy ending, too. The fact that such a nice character is essentially wiped out at the movie's end really undermines the effect of the ""happy ending"" for Cooper and Wright.<br /><br />I kept waiting for something to happen, for the witty dialog so characteristic of movies of the era... And it never delivered. A good performance by Frank Morgan in a slightly different role is totally wasted here.",neg,6856_3.txt
34006,train,"This ""screwy comedy"" seems very forced. Indeed, the actors TRY very hard to make a go of an essentially unfunny script. And, as a result it doesn't really go anywhere. The idea of a woman finding out she was pregnant after getting a quickie divorce just isn't all that funny. And then, when Cooper sneaks off with the baby because he doesn't want it put up for adoption just seems terribly unfunny and it's really pushing hard to turn this into a comedy. It's really a shame, too, as the actors were more capable than the script and I found myself just bored by the whole mess. Considering that Cooper made so many GOOD comedies, I recommend you see them instead.",neg,6857_4.txt
34007,train,"John Huston's Wise Blood was a more horrifying misrepresentation of Flannery O'Connor's book than I could have imagined. From the utterly terrible acting performances (and don't you, ""Oh that was done on purpose, you just don't get it"" me!) to the musical score that was more suited to an episode of Rockford Files, this film was revolting. I viewed it with no ill-will at the outset, and, in fact, expected a pleasant experience. But the misrepresentation of the southern characters, from the ridiculously fraudulent southern drawl to the lilting, comedic way their faith was portrayed, was inexcusable. Right down to it's end, which was completely devoid of any character sentiment, it failed in every place that O'Connor's book shined and resonated. The actors portraying the ""southern"" policemen may as well have been eating smothered hot-dogs from NYC street stands and quoting Godfather. The one redeeming acting performance was Ned Beatty's lively and dead-on representation of Hoover Shoates, a religious con-artist who hears Moates preaching the Church of Christ Without Christ and sees dollar signs and business opportunities. O'Connor's powerful book is most well-known for it's creepy, religious undercurrent that jibes the seemingly lifeless cadaver of ""Faith"". Mr. Huston's film is a shameful mockery of the author's intentions, as they are understood by me and most of her fans, if I may be so bold as to say so. While I acknowledge that I can't know exactly what the author wished to convey, I have enough affection for her and her works to desire to remain a fan. If I viewed Wise Blood the way Mr. Huston apparently did, I would have thrown it in the trash. For Flannery's sake, and mine, I forgive you, John Huston. The forgetting....that will take some time.",neg,6858_2.txt
34008,train,"I realize that bringing a novel to the big screen is always problematic. That is the only positive thing I can say about this truly horrid adaptation.<br /><br />Have you read 'Wise Blood?' It's an amazing book. Flannery O'Connor wrote about the south as no one else has. She was a southerner herself, a devout catholic, and a remarkably gifted writer. In her first novel she wove together a dark and deeply disturbing tale of faith, doubt, and redemption with a macabre sense of humor and surprising evenhandedness. The characters in the book may seem outrageous to those who have not lived in the rural south, but I can assure you that such people do exist. Not only do they exist, they are human beings with families, feelings, and concerns like anyone else. Flannery's intentions were so often misunderstood - she was not lampooning these backwoods zealots - she saw in them the beautiful operation of what she would have called 'grace'...even in the most violent, distressing, and maddening of circumstances. To read 'Wise Blood' is to be washed over with a sense of dread and impending doom. Finally, it is to think long and hard about our judgments and preconceptions - our entire world view.<br /><br />None of this comes through in John Huston's 'Gilligan's Island'-like adaptation. None. It is a farce. A bad farce. The entire film is saturated with a hauteur that turns the stomach. The acting is poor, the southern accents are fake and insulting. The filmmakers show no insight into the thinking of religious southerners. Ms. O'Connor's intense prose are reduced to sight gags and cheap, amateur theatre. The soundtrack is a mixture of hayseed silliness and 'Clockwork Orange'-style cheeseball electronics that doesn't fit the story or even the MOVIE. I was granted free admission to this movie and almost walked out. Truly, truly terrible.<br /><br />As an aside, I do not agree with Ms. O'Connor's religious views, and while I was raised in the deep south, years ago I made my way north and have not looked back. But the south is a beautiful place full of fascinating individuals (like every other place on earth), and the cartoonish mockery with which southerners and their attitudes are dealt in this movie borders on offensive. If you're into being offended (which I am not), then this movie most DEFINITELY crosses the line.<br /><br />I don't like to talk crap about an artist's work - John Huston was a man that I did not know, and I'm sure he was a sincere and gifted filmmaker, to which his respected place in film history attests. My views are clearly skewed by having read (and loved) Flannery O'Connor's work. So I don't claim to be coming from any other perspective. Maybe as a stand-alone film it works for cinephiles. But for Flannery O'Connor fans - and, I might add, for self-respecting southerners and openminded individuals of all stripes - this movie is a waste of time.",neg,6859_1.txt
34009,train,"My wife and I thought that with this cast and director, the movie would have to be at least worth watching. We were wrong. In fact, we gave up on it after 45 minutes. The idea that Crawford, Young and Tone are British but speak with American accents was, for me, impossible to get past -- hard to believe this is England when no one talks with a British accent. There is zero chemistry between Crawford and anyone, and to echo a previous comment, the idea that Cooper and Crawford suddenly declare their love for one another without any reason is ludicrous. There is no reason to care about any of the characters, which is why we threw in the towel halfway through. I found it hard to believe that Hawks directed this, as none of the actors spoke with the trademark Hawksian rat-a-tat delivery. So save your time, and skip this one.",neg,685_1.txt
